Symbol Name (Lots),Entry Price,Target Price,Profit/Loss,Strategy,Strategy Description,Trading Session,,Lots,Event Type,Event Name,Event Impact,Stoploss,Volumne,Volume,Volatility,Live sentiment,Entry Timestamp,Target Timestamp
XAUUSD,1947.9,1942.58,-5.32,Momentum,Follow momentum trend,Sydney Session,,0.01,,,,1945.64,23439,23854,3.23,Bullish,,
XAUUSD,1928.62,1920.47,-8.15,Momentum,Follow momentum trend,Tokyo Session,,0.01,,,,1925.59,36145,36079,1.61,Neutral,,
XAUUSD,1946.21,1947.06,0.85,Reversal,Enter on reversal signals,Tokyo Session,,0.01,,,,1941.58,7873,7632,2.75,Neutral,,
XAUUSD,1874.84,1866.48,-8.36,Momentum,Follow momentum trend,London Session,,0.01,,,,1872.84,52387,52321,3.19,Bearish,,
XAUUSD,1997.16,1999.23,2.07,Reversal,Enter on reversal signals,Sydney Session,,0.01,,,,1994.52,7694,7917,3.04,Bullish,,
XAUUSD,1949.04,1952.64,3.6,Momentum,Follow momentum trend,London Session,,0.01,,,,1945.02,80235,79744,1.05,Bullish,,
XAUUSD,1893.1,1890.85,-2.25,Reversal,Enter on reversal signals,New York Session,,0.01,,,,1891.18,24137,24226,3.37,Bearish,,
XAUUSD,1888.66,1899.26,10.6,Scalping,Scalp short dips,New York Session,,0.01,,,,1887.35,54461,54574,1.63,Neutral,,
XAUUSD,1917.26,1907.47,-9.79,Reversal,Enter on reversal signals,Tokyo Session,,0.01,,,,1915.1,88128,88266,1.52,Bullish,,
XAUUSD,1922.19,1941.85,19.66,Momentum,Follow momentum trend,New York Session,,0.01,,,,1920.55,65437,65179,0.69,Neutral,,
XAUUSD,1864.03,1872.87,8.84,Momentum,Follow momentum trend,Sydney Session,,0.01,,,,1859.31,53763,53977,1.96,Neutral,,
XAUUSD,1931.96,1944.53,12.57,Reversal,Enter on reversal signals,Tokyo Session,,0.01,,,,1927.73,33109,32700,0.83,Bearish,,
XAUUSD,1931.31,1925.98,-5.33,Scalping,Scalp short dips,London Session,,0.01,,,,1927.78,33967,33666,1.25,Bearish,,
XAUUSD,1981.57,1980.1,-1.47,Momentum,Follow momentum trend,New York Session,,0.01,,,,1977.08,67279,67656,1.45,Neutral,,
XAUUSD,1991.45,1993.67,2.22,Scalping,Scalp short dips,Sydney Session,,0.01,,,,1987.24,99420,99659,2.93,Bullish,,
XAUUSD,1911.19,1914.22,3.03,Momentum,Follow momentum trend,London Session,,0.01,,,,1909.44,66522,66036,3.13,Bullish,,
XAUUSD,1972.02,1986.08,14.06,Reversal,Enter on reversal signals,London Session,,0.01,,,,1967.45,56221,55969,1.41,Bearish,,
XAUUSD,1999.4,2005.86,6.46,Momentum,Follow momentum trend,London Session,,0.01,,,,1996.24,73334,73048,3.08,Neutral,,
XAUUSD,1907.19,1903.65,-3.54,Reversal,Enter on reversal signals,Sydney Session,,0.01,,,,1902.96,47055,46826,3.07,Bullish,,
XAUUSD,1938.49,1943.99,5.5,Scalping,Scalp short dips,London Session,,0.01,,,,1933.91,6954,6702,2.79,Bullish,,
XAUUSD,1961.5,1977.63,16.13,Reversal,Enter on reversal signals,New York Session,,0.01,,,,1959.23,56667,56230,0.94,Bearish,,
XAUUSD,1924.65,1942.75,18.1,Momentum,Follow momentum trend,New York Session,,0.01,,,,1923.21,95805,95764,2.57,Neutral,,
XAUUSD,1982.89,1986.86,3.97,Scalping,Scalp short dips,Tokyo Session,,0.01,,,,1980.98,18355,18588,3.34,Bullish,,
XAUUSD,1919.32,1938.3,18.98,Scalping,Scalp short dips,London Session,,0.01,,,,1916.61,69310,69417,2.55,Bearish,,
XAUUSD,1999.78,1996.49,-3.29,Momentum,Follow momentum trend,Tokyo Session,,0.01,,,,1995.51,20892,21065,1.49,Bullish,,
XAUUSD,1875.27,1890.15,14.88,Momentum,Follow momentum trend,Sydney Session,,0.01,,,,1870.83,54047,53628,2,Bullish,,
XAUUSD,1867.67,1864.63,-3.04,Reversal,Enter on reversal signals,Sydney Session,,0.01,,,,1866.64,10571,11022,2.44,Bullish,,
XAUUSD,1937.65,1953.52,15.87,Scalping,Scalp short dips,London Session,,0.01,,,,1934.61,45587,45925,2.03,Bearish,,
XAUUSD,1866.32,1885.89,19.57,Scalping,Scalp short dips,London Session,,0.01,,,,1863.65,75860,76165,0.86,Neutral,,
XAUUSD,1927.56,1946.29,18.73,Reversal,Enter on reversal signals,Tokyo Session,,0.01,,,,1925.67,35410,35733,1.44,Bearish,,
XAUUSD,1945.49,1942.72,-2.77,Momentum,Follow momentum trend,New York Session,,0.01,,,,1944.01,66826,67259,2.91,Neutral,,
XAUUSD,1998.2,1996.08,-2.12,Scalping,Scalp short dips,Sydney Session,,0.01,,,,1995.85,79750,79794,3.08,Bullish,,
XAUUSD,1924.96,1934.5,9.54,Reversal,Enter on reversal signals,New York Session,,0.01,,,,1920.19,92791,92491,0.91,Neutral,,
XAUUSD,1876.33,1888.76,12.43,Scalping,Scalp short dips,London Session,,0.01,,,,1874.04,24230,24347,3.36,Bullish,,
XAUUSD,1924.36,1918.06,-6.3,Reversal,Enter on reversal signals,New York Session,,0.01,,,,1921.28,40532,40775,1.49,Bullish,,
XAUUSD,1870.85,1880.57,9.72,Scalping,Scalp short dips,London Session,,0.01,,,,1867.04,16089,16327,2.49,Bearish,,
XAUUSD,1981.76,1985.48,3.72,Reversal,Enter on reversal signals,London Session,,0.01,,,,1979.31,99256,99277,2.76,Bullish,,
XAUUSD,1919.27,1916.83,-2.44,Scalping,Scalp short dips,London Session,,0.01,,,,1914.38,92773,92341,2.94,Bearish,,
XAUUSD,1951.2,1962.47,11.27,Reversal,Enter on reversal signals,London Session,,0.01,,,,1946.35,54456,54327,3.34,Neutral,,
XAUUSD,1894.25,1911.71,17.46,Momentum,Follow momentum trend,London Session,,0.01,,,,1892.24,84361,84782,1.44,Neutral,,
XAUUSD,1890.47,1901.3,10.83,Momentum,Follow momentum trend,Sydney Session,,0.01,,,,1887.48,52575,52659,3.08,Bullish,,
XAUUSD,1906.9,1900.15,-6.75,Scalping,Scalp short dips,Tokyo Session,,0.01,,,,1904.7,62735,62773,0.9,Bearish,,
XAUUSD,1919.66,1921.99,2.33,Momentum,Follow momentum trend,Sydney Session,,0.01,,,,1917.52,9823,9592,2.62,Bullish,,
XAUUSD,1893.91,1895.4,1.49,Reversal,Enter on reversal signals,Sydney Session,,0.01,,,,1892.76,75772,75640,2.73,Bearish,,
XAUUSD,1896.87,1908.73,11.86,Reversal,Enter on reversal signals,New York Session,,0.01,,,,1893.43,13644,14039,2.53,Bearish,,
XAUUSD,1954.42,1949.97,-4.45,Reversal,Enter on reversal signals,Tokyo Session,,0.01,,,,1951.41,82781,82947,1.26,Bearish,,
XAUUSD,1883.2,1892.36,9.16,Reversal,Enter on reversal signals,New York Session,,0.01,,,,1881.99,78421,78708,3.12,Neutral,,
XAUUSD,1871.53,1891.41,19.88,Reversal,Enter on reversal signals,London Session,,0.01,,,,1869.42,71166,71120,1.01,Bearish,,
XAUUSD,1907.62,1907.16,-0.46,Scalping,Scalp short dips,London Session,,0.01,,,,1902.99,4580,4710,0.66,Neutral,,
XAUUSD,1960.07,1966.81,6.74,Momentum,Follow momentum trend,New York Session,,0.01,,,,1958.11,31010,30758,2.65,Bearish,,
XAUUSD,1873.51,1884.42,10.91,Momentum,Follow momentum trend,Tokyo Session,,0.01,,,,1871.93,27048,27253,1.93,Neutral,,
XAUUSD,1892.57,1883.28,-9.29,Momentum,Follow momentum trend,London Session,,0.01,,,,1889.61,36654,36582,3.05,Neutral,,
XAUUSD,1912.97,1920.04,7.07,Reversal,Enter on reversal signals,London Session,,0.01,,,,1908.03,9677,9620,1.65,Neutral,,
XAUUSD,1961.62,1958.98,-2.64,Scalping,Scalp short dips,New York Session,,0.01,,,,1959.65,93759,93908,1,Bullish,,
XAUUSD,1858.36,1868.02,9.66,Reversal,Enter on reversal signals,New York Session,,0.01,,,,1854.67,55826,56262,3.01,Bearish,,
XAUUSD,1924.81,1927.45,2.64,Momentum,Follow momentum trend,Sydney Session,,0.01,,,,1920.76,31247,30811,2.15,Bullish,,
XAUUSD,1937.42,1939.24,1.82,Scalping,Scalp short dips,Tokyo Session,,0.01,,,,1935.47,40301,40626,1.07,Bearish,,
XAUUSD,1980.93,1992.52,11.59,Momentum,Follow momentum trend,New York Session,,0.01,,,,1977.02,45273,45065,2.66,Bearish,,
XAUUSD,1916.57,1907.1,-9.47,Scalping,Scalp short dips,New York Session,,0.01,,,,1914.1,60459,60403,2.03,Bullish,,
XAUUSD,1946.7,1938.67,-8.03,Scalping,Scalp short dips,Tokyo Session,,0.01,,,,1943.17,52052,51574,2.31,Neutral,,
XAUUSD,1929.23,1920.05,-9.18,Momentum,Follow momentum trend,New York Session,,0.01,,,,1925.7,92020,91821,1.88,Bearish,,
